
----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1073,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
15751,ERROR,GNSSTask,GNSS checkUblox time, 1
15751,ERROR,GNSSTask,GNSSTask time, 20
15776,ERROR,ControlTask,ControlTask time, 0
15779,ERROR,NavTask,NavigationTask time, 0
15833,ERROR,GNSSTask,GNSS checkUblox time, 2
15833,ERROR,GNSSTask,GNSSTask time, 2
15876,ERROR,ControlTask,ControlTask time, 0
15879,ERROR,NavTask,NavigationTask time, 0
15886,ERROR,GGATask,GGATask time, 6
15933,ERROR,GNSSTask,GNSS checkUblox time, 2
15933,ERROR,GNSSTask,GNSSTask time, 2
15976,ERROR,ControlTask,ControlTask time, 0
15979,ERROR,NavTask,NavigationTask time, 0
16033,ERROR,GNSSTask,GNSS checkUblox time, 2
16033,ERROR,GNSSTask,GNSSTask time, 2
16076,ERROR,ControlTask,ControlTask time, 0
16079,ERROR,NavTask,NavigationTask time, 0
16133,ERROR,GNSSTask,GNSS checkUblox time, 2
16133,ERROR,GNSSTask,GNSSTask time, 2
16176,ERROR,ControlTask,ControlTask time, 0
16179,ERROR,NavTask,NavigationTask time, 0
16233,ERROR,GNSSTask,GNSS checkUblox time, 2
16233,ERROR,GNSSTask,GNSSTask time, 2
16276,ERROR,ControlTask,ControlTask time, 0
16279,ERROR,NavTask,NavigationTask time, 0
16333,ERROR,GNSSTask,GNSS checkUblox time, 2
16333,ERROR,GNSSTask,GNSSTask time, 2
16376,ERROR,ControlTask,ControlTask time, 0
16379,ERROR,NavTask,NavigationTask time, 0
16432,ERROR,GNSSTask,GNSS checkUblox time, 1
16433,ERROR,GNSSTask,GNSSTask time, 2
16476,ERROR,ControlTask,ControlTask time, 0
16479,ERROR,NavTask,NavigationTask time, 0
16533,ERROR,GNSSTask,GNSS checkUblox time, 2
16533,ERROR,GNSSTask,GNSSTask time, 2
16576,ERROR,ControlTask,ControlTask time, 0
16579,ERROR,NavTask,NavigationTask time, 0
16633,ERROR,GNSSTask,GNSS checkUblox time, 2
16633,ERROR,GNSSTask,GNSSTask time, 2
16676,ERROR,ControlTask,ControlTask time, 0
16679,ERROR,NavTask,NavigationTask time, 0
16733,ERROR,GNSSTask,GNSS checkUblox time, 2
16733,ERROR,GNSSTask,GNSSTask time, 2
16776,ERROR,ControlTask,ControlTask time, 0
16779,ERROR,NavTask,NavigationTask time, 0
16856,ERROR,GNSSTask,pushRawData time, 25
16857,ERROR,GNSSTask,GNSS checkUblox time, 1
16857,ERROR,GNSSTask,GNSSTask time, 26
16876,ERROR,ControlTask,ControlTask time, 0
16879,ERROR,NavTask,NavigationTask time, 0
16884,ERROR,GGATask,GGATask time, 4
16933,ERROR,GNSSTask,GNSS checkUblox time, 2
16933,ERROR,GNSSTask,GNSSTask time, 2
16976,ERROR,ControlTask,ControlTask time, 0
16979,ERROR,NavTask,NavigationTask time, 0
17032,ERROR,GNSSTask,GNSS checkUblox time, 1
17033,ERROR,GNSSTask,GNSSTask time, 2
17076,ERROR,ControlTask,ControlTask time, 0
17079,ERROR,NavTask,NavigationTask time, 0
17133,ERROR,GNSSTask,GNSS checkUblox time, 2
17133,ERROR,GNSSTask,GNSSTask time, 2
17176,ERROR,ControlTask,ControlTask time, 0
17179,ERROR,NavTask,NavigationTask time, 0
17233,ERROR,GNSSTask,GNSS checkUblox time, 2
17233,ERROR,GNSSTask,GNSSTask time, 2
17276,ERROR,ControlTask,ControlTask time, 0
17279,ERROR,NavTask,NavigationTask time, 0
17333,ERROR,GNSSTask,GNSS checkUblox time, 2
17333,ERROR,GNSSTask,GNSSTask time, 2
17376,ERROR,ControlTask,ControlTask time, 0
17379,ERROR,NavTask,NavigationTask time, 0
17432,ERROR,GNSSTask,GNSS checkUblox time, 1
17433,ERROR,GNSSTask,GNSSTask time, 2
17476,ERROR,ControlTask,ControlTask time, 0
17479,ERROR,NavTask,NavigationTask time, 0
17532,ERROR,GNSSTask,GNSS checkUblox time, 1
17533,ERROR,GNSSTask,GNSSTask time, 2
17576,ERROR,ControlTask,ControlTask time, 0
17579,ERROR,NavTask,NavigationTask time, 0
17650,ERROR,GNSSTask,pushRawData time, 19
17651,ERROR,GNSSTask,GNSS checkUblox time, 1
17651,ERROR,GNSSTask,GNSSTask time, 20
17676,ERROR,ControlTask,ControlTask time, 0
17679,ERROR,NavTask,NavigationTask time, 0
17733,ERROR,GNSSTask,GNSS checkUblox time, 2
17733,ERROR,GNSSTask,GNSSTask time, 2
17776,ERROR,ControlTask,ControlTask time, 0
17779,ERROR,NavTask,NavigationTask time, 0
